id,display_id,name,parent_name,description,parent_id
1,,NSQHS Standards v2,,,
2,,Clinical Governance,NSQHS Standards v2,,1
3,,Blood Management,NSQHS Standards v2,,1
4,,Medication Safety,NSQHS Standards v2,,1
5,,Preventing and controlling infection,NSQHS Standards v2,,1
6,,Recognising and responding to acute deterioration,NSQHS Standards v2,,1
7,,Comprehensive care,NSQHS Standards v2,,1
8,,Communicating for safety,NSQHS Standards v2,,1
9,,Partnering with consumers,NSQHS Standards v2,,1
10,,"Governance, leadership and culture",Clinical Governance,,2
11,,"Governance, leadership and culture","Governance, leadership and culture",,10
12,,1.1,"Governance, leadership and culture","The governing body:
a. Provides leadership to develop a culture of safety and quality improvement, and satisfies itself that this culture exists within the organisation
b. Provides leadership to ensure partnering with patients, carers and consumers
c. Sets priorities and strategic directions for safe and high-quality clinical care, and ensures that these are communicated effectively to the workforce and the community
d. Endorses the organisation’s clinical governance framework
e. Ensures that roles and responsibilities are clearly defined for the governing body, management, clinicians and the workforce 
f. Monitors the action taken as a result of analyses of clinical incidents
g. Reviews reports and monitors the organisation’s progress on safety and quality performance",10
13,,1.2,"Governance, leadership and culture",The governing body ensures that the organisation’s safety and quality priorities address the specific health needs of Aboriginal and Torres Strait Islander people,10
14,,Organisational leadership,"Governance, leadership and culture",,10
15,,1.3,Organisational leadership,"The health service organisation establishes and maintains a clinical governance framework, and uses the processes within the framework to drive improvements in safety and quality",14
16,,1.4,Organisational leadership,The health service organisation implements and monitors strategies to meet the organisation’s safety and quality priorities for Aboriginal and Torres Strait Islander people,14
17,,1.5,Organisational leadership,The health service organisation considers the safety and quality of health care for patients in its business decision-making,14
18,,Clinical leadership,"Governance, leadership and culture",,10
19,,1.6,Clinical leadership,"Clinical leaders support clinicians to:
a. Understand and perform their delegated safety and quality roles and responsibilities
b. Operate within the clinical governance framework to improve the safety and quality of health care for patients",18
20,,Patient safety and quality systems,Clinical Governance,,2
21,,Policies and procedures,Patient safety and quality systems,,20
